,name,category
0,David Stern,Contributor
1,Alonzo Mourning,Player
2,Mitch Richmond,Player
3,Guy Rodgers,Player
4,Sarunas Marciulionis,Player
5,Nolan Richardson,Coach
6,Gary Williams,Coach
7,Bob Leonard,Coach
8,Nat Clifton,Contributor
9,Immaculata University,Team
10,Gary Payton,Player
11,Bernard King,Player
12,Roger Brown,Player
13,Rick Pitino,Coach
14,Sylvia Hatchell,Coach
15,Dawn Staley,Player
16,Edwin B. Henderson,Contributor
17,Oscar Schmidt,Player
18,Richard Geurin,Player
19,Russ Granik,Contributor
20,Mel Daniels,Player
21,Don Barskdale,Contributor
22,Lidia Alexeeva,Coach
23,Chet Walker,Player
24,Phil Knight,Contributor
25,Reggie Miller,Player
26,Don Nelson,Coach
27,Hank Nichols,Referee
28,Ralph Sampson,Player
29,Jamaal Wilkes,Player
30,All-American Red Heads,Team
31,Katrina McClain,Player
32,Teresa Edwards,Player
33,Artis Gilmore,Player
34,Herb Magee,Coach
35,Chris Mullin,Player
36,Dennis Rodman,Player
37,Arvydas Sabonis,Player
38,Tom Sanders,Contributor
39,Goose Tatum,Player
40,Tara Van Derveer,Coach
41,Tex Winter,Coach
42,1960 USA Men's Olympic Team,Team
43,1992 USA Men's Olympic Team,Team
44,Jerry Buss,Contributor
45,Cynthia Cooper-Dyke,Player
46,Bob Hurley,Coach
47,Dennis Johnson,Player
48,Gus Johnson,Player
49,Karl Malone,Player
50,Maciel Pereira,Player
51,Scottie Pippen,Player
52,Michael Jordan,Player
53,David Robinson,Player
54,Jerry Sloan,Coach
55,John Stockton,Player
56,C. Vivian Stringer,Coach
57,Adrian Dantley,Player
58,Bill Davidson,Contributor
59,Patrick Ewing,Player
60,Hakeem Olajuwon,Player
61,Pat Riley,Coach
62,Catchy Rush,Coach
63,Dick Vitale,Contributor
64,Phil Jackson,Coach
65,Roy Williams,Coach
66,Texas Western,Team
67,Van Chancellor,Coach
68,Pedro Ferrandiz,Coach
69,Mirko Novosel,Coach
70,Mendy Rudolph,Referee
71,Charles Barkley,Player
72,Joe Dumars,Player
73,Dominique Wilkins,Player
74,Geno Auriemma,Coach
75,Sandro Gamba,Coach
76,Dave Gavitt,Contributor
77,Jim Boeheim,Coach
78,Hubie Brown,Coach
79,Jim Calhoun,Coach
80,Sue Gunter,Coach
81,Hortencia Marcari,Player
82,Clyde Drexler,Player
83,Jerry Colangelo,Contributor
84,Bill Sharman,Coach
85,Drazen Dalipagic,Player
86,Maurice Stokes,Player
87,Lynette Woodard,Player
88,Robert Parish,Player
89,James Worthy,Player
90,Dino Meneghin,Player
91,Meadowlark Lemon,Contributor
92,Chick Hearn,Contributor
93,Leon Barmore,Coach
94,Earl Lloyd,Contributor
95,Magic Johnson,Player
96,Drazen Petrovic,Player
97,Larry Brown,Coach
98,Harlem Globetrotters,Team
99,Lute Olson,Coach
100,Kay Yow,Coach
101,Moses Malone,Player
102,Mike Krzyzewski,Coach
103,John Chaney,Coach
104,Isiah Thomas,Player
105,Pat Summit,Coach
106,Bob McAdoo,Player
107,Danny Biasone,Contributor
108,Charles Newton,Contributor
109,Morgan Wooten,Coach
110,Kevin McHale,Player
111,Wayne Embry,Contributor
112,Billie Moore,Coach
113,John Thompson,Coach
114,Fred Zollner,Contributor
115,Larry Bird,Player
116,Lenny Wilkens,Coach
117,Jody Conradt,Coach
118,Alex Hannum,Coach
119,Marques Haynes,Player
120,Aleksandar Nikolic,Coach
121,Arnie Risen,Player
122,Alex English,Player
123,Pete Carril,Coach
124,Joan Crawford,Player
125,Denise Curry,Player
126,Antonio Diaz-Miguel,Coach
127,Don Haskins,Coach
128,Bailey Howell,Player
129,George Gervin,Player
130,Gail Goodrich,Player
131,David Thompson,Player
132,Kresimir Cosic,Player
133,Nancy Lieberman-Cline,Player
134,George Yardley,Player
135,Kareem Abdul-Jabbar,Player
136,Cheryl Miller,Player
137,Anne Donovan,Player
138,Aleksandr Gomelsky,Coach
139,John Kundla,Coach
140,Vern Mikkelsen,Player
141,Earl Storm,Referee
142,Chuck Daly,Coach
143,Denny Crum,Coach
144,Carol Blazejowski,Player
145,Buddy Jeannette,Player
146,Cesare Rubini,Coach
147,Julius Erving,Player
148,Bill Walton,Player
149,Calvin Murphy,Player
150,Walt Bellamy,Player
151,Dan Issell,Player
152,Dick McGuire,Player
153,Ann Meyers,Player
154,Uljana Semjonova,Player
155,Bob Lanier,Player
156,Connie Hawkins,Player
157,Sergei Belov,Player
158,Lou Carnesecca,Coach
159,Lusia Harris-Stewart,Player
160,Alfred McGuire,Coach
161,Jack Ramsay,Coach
162,Nera White,Player
163,Phillip Woolpert,Coach
164,Tiny Archibald,Player
165,Bob Knight,Coach
166,Lawrence O'Brien,Contributor
167,Dave Cowens,Player
168,Larry Fleisher,Contributor
169,Harry Gallatin,Player
170,Borislav Stankovic,Contributor
171,Earl Monroe,Player
172,Dave Bing,Player
173,Elvin Hayes,Player
174,Neil Johnston,Player
175,Lenny Wilkens,Player
176,Pop Gates,Player
177,K.C. Jones,Player
178,Wes Unseld,Player
179,Ralph Miller,Coach
180,Bob McDermott,Player
181,Clyde Lovellette,Player
182,Rick Barry,Player
183,Walt Frazier,Player
184,Pete Maravich,Player
185,Bobby Wanzer,Player
186,Bob Houbregs,Player
187,Red Holzman,Coach
188,Tom Heinsohn,Player
189,Billy Cunningham,Player
190,Red Mihalik,Referee
191,Fred Taylor,Coach
192,Stanley Watts,Coach
193,Nate Thurmond,Player
194,Harold Anderson,Coach
195,Senda Berenson Abbott,Contributor
196,Al Cervi,Player
197,Marv Harshman,Coach
198,Bertha Teague,Contributor
199,Margaret Wade,Coach
200,John Havlicek,Player
201,Sam Jones,Player
202,Clifford Fagan,Contributor
203,Jack Gardner,Coach
204,Edward Steitz,Contributor
205,Bill Bradley,Player
206,Dean Smith,Coach
207,Dave DeBusschere,Player
208,Lloyd Leith,Referee
209,Jack Twyman,Player
210,Louis Wilke,Contributor
211,Willis Reed,Player
212,Frank Ramsey,Player
213,Slater Martin,Player
214,Hal Greer,Player
215,Clarence Gaines,Coach
216,Alva Duer,Contributor
217,Everett Case,Coach
218,Thomas Barlow,Player
219,Ferenc Hepp,Contributor
220,Walter Kennedy,Contributor
221,Arad McCutchan,Coach
222,Oscar Robertson,Player
223,Jerry Lucas,Player
224,Jerry West,Player
225,Les Harrison,Contributor
226,Everett Shelton,Coach
227,Dallas Shirley,Referee
228,Wilt Chamberlain,Player
229,"Sam Barry,",Coach
230,James Enright,Referee
231,Edgar Hickey,Coach
232,John McLendon,Coach
233,Ray Meyer,Coach
234,Pete Newell,Coach
235,Paul Arizin,Player
236,Joe Fulks,Player
237,Cliff Hagan,Player
238,John Nucatola,Referee
239,Jim Pollard,Player
240,Elgin Baylor,Player
241,Charles Cooper,Player
242,Lauren Gale,Player
243,William Johnson,Player
244,Frank McGuire,Coach
245,Tom Gola,Player
246,Ed Krause,Player
247,Harry Litwack,Coach
248,Bill Sharman,Player
249,Bill Russell,Player
250,Joseph Brennan,Player
251,Emil Liston,Contributor
252,Robert Vandivier,Player
253,Harry Fisher,Contributor
254,Maurice Podoloff,Contributor
255,Ernest Schmidt,Player
256,John Beckman,Player
257,Bruce Drake,Coach
258,Arthur Lonborg,Coach
259,Elmer Ripley,Contributor
260,Dolph Schayes,Player
261,John Wooden,Coach
262,Edgar Diddle,Coach
263,Robert Douglas,Contributor
264,Paul Endacott,Player
265,Max Friedman,Player
266,Edward Gottlieb,Contributor
267,Clifford Wells,Contributor
268,Bob Cousy,Player
269,Bob Pettit,Player
270,Abe Saperstein,Contributor
271,Bernard Carnevale,Coach
272,Bob Davies,Player
273,Red Auerbach,Coach
274,Dutch Dehnert,Player
275,Henry Iba,Coach
276,Adolph Rupp,Coach
277,Charles Taylor,Contributor
278,Clair Bee,Contributor
279,Howard Cann,Coach
280,Amory Gill,Coach
281,Alvin Julian,Coach
282,Everett Dean,Coach
283,Joe Lapchick,Player
284,Walter Brown,Contributor
285,Paul Hinkle,Contributor
286,Howard Hobson,Coach
287,William Mokray,Contributor
288,John Bunn,Contributor
289,Harold Foster,Player
290,Nat Holman,Player
291,Ned Irish,Contributor
292,William Jones,Contributor
293,Kenneth Loeffler,Coach
294,John Russell,Player
295,New York Rens,Team
296,Robert Gruenig,Player
297,William Reid,Contributor
298,Jack McCracken,Player
299,Frank Morgenweck,Contributor
300,Harlan Page,Player
301,Barney Sedran,Player
302,Lynn St. John,Contributor
303,John Thompson,Player
304,Buffalo Germans,Team
305,Bergnard Borgmann,Player
306,Forrest DeBernardi,Player
307,George Hoyt,Referee
308,Bob Kurland,Player
309,John O'Brien,Contributor
310,Andy Phillip,Player
311,Ernest Quigley,Referee
312,John Roosma,Player
313,Leonard Sachs,Coach
314,Arthur Schabinger,Contributor
315,Christian Steinmetz,Player
316,David Tobey,Referee
317,Arthur Trester,Contributor
318,Edward Wachter,Player
319,David Walsh,Referee
320,Ernest Blood,Coach
321,Victor Hanson,Player
322,George Hepbron,Referee
323,Frank Keaney,Coach
324,Ward Lambert,Coach
325,Ed Macauley,Player
326,Branch McCracken,Player
327,Charles Murphy,Player
328,Henry Porter,Contributor
329,John Wooden,Player
330,Original Celtics,Team
331,The First Team,Team
332,Phog Allen,Coach
333,Henry Clifford Carlson,Coach
334,Luther Gulick,Contributor
335,Edward Hickox,Contributor
336,Charles Hyatt,Player
337,Matthew Kennedy,Referee
338,Hank Luisetti,Player
339,Walter Meanwell,Coach
340,George Mikan,Player
341,Ralph Morgan,Contributor
342,James Naismith,Contributor
343,Harold Olsen,Contributor
344,John Schommer,Player
345,Amos Alonzo Stagg,Contributor
346,Oswald Tower,Contributor
